msisdn,first_name,last_name,zip,city,state,email
1,Sandra,DeLaughter,217,NY,state,zahidcse09@gmail.com
2,Angie,ball,218,NY,state,zahidcse09@gmail.com
3,Valerie,washington,219,NY,state,zahidcse09@gmail.com
4,Kristal,coppinger,220,NY,state,zahidcse09@gmail.com
5,Gina,gallant,221,NY,state,zahidcse09@gmail.com
6,Kathy,Speer,222,NY,state,zahidcse09@gmail.com
7,Jonathan,Good,223,NY,state,zahidcse09@gmail.com
8,Bryan,Lobrano,224,NY,state,zahidcse09@gmail.com
9,Kristy,Read,225,NY,state,zahidcse09@gmail.com
10,Tammy,Tharrett,226,NY,state,zahidcse09@gmail.com
11,Janice,edwards,227,NY,state,zahidcse09@gmail.com
12,Tonya,Mccurry,228,NY,state,zahidcse09@gmail.com
13,Melissa,Poindexter,229,NY,state,zahidcse09@gmail.com
14,Roxann,DeMolay,230,NY,state,zahidcse09@gmail.com
15,Saul,Nunez,231,NY,state,zahidcse09@gmail.com
16,Krystal,Reynolds,232,NY,state,zahidcse09@gmail.com
17,Noah,Randolph,233,NY,state,zahidcse09@gmail.com
18,Amelia,Brooks,234,NY,state,zahidcse09@gmail.com
19,Juan,Juarez,235,NY,state,zahidcse09@gmail.com
20,Mike,Barker,236,NY,state,zahidcse09@gmail.com
21,William,Edwards,237,NY,state,zahidcse09@gmail.com
22,Lucia,Gaytan,238,NY,state,zahidcse09@gmail.com
23,Brandy,jordan,239,NY,state,zahidcse09@gmail.com
24,Taqawnia,culbreth,240,NY,state,zahidcse09@gmail.com
25,Laura,Schnelker,241,NY,state,zahidcse09@gmail.com
26,Antoinette,Newton,242,NY,state,zahidcse09@gmail.com
27,Jean,Winter,243,NY,state,zahidcse09@gmail.com
28,Gilbert,APONTE,244,NY,state,zahidcse09@gmail.com
29,Tim,Tebbs,245,NY,state,zahidcse09@gmail.com
30,Everett,Kizart,246,NY,state,zahidcse09@gmail.com
31,Jenay,Reeves,247,NY,state,zahidcse09@gmail.com
32,Antonio,Brown,248,NY,state,zahidcse09@gmail.com
33,Jaime,Grilli,249,NY,state,zahidcse09@gmail.com
34,Rene,hobbs,250,NY,state,zahidcse09@gmail.com
35,Ashley,Black,251,NY,state,zahidcse09@gmail.com
36,Carlos,barrera,252,NY,state,zahidcse09@gmail.com
